,Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
195,Dr. Alok Shah,BDS,Dentist,11,Powai,Mumbai,98,54,200
196,Dr. Nikhil D Datar,MBBS,Gynecologist/Obstetrician,31,Malad West,Mumbai,99,479,1000
197,Dr. Shilpa Saple,MD,Gynecologist/Obstetrician,22,Kurla West,Mumbai,10,2,0
198,Dr. Rajendra S Sankpal,MD,Gynecologist/Obstetrician,28,Malad West,Mumbai,98,66,1000
199,Dr. Anjali Jitendra Bapat,MBBS,Gynecologist/Obstetrician,36,Mahim,Mumbai,95,146,1000
200,Dr. Pradnya Randive,MBBS,Gynecologist/Obstetrician,16,Bhandup West,Mumbai,95,79,800
201,Dr. Nanda R Kumar,MBBS,Gynecologist/Obstetrician,19,Chembur East,Mumbai,89,117,1000
202,Dr. Gouri Sultane Gupta,MBBS,Gynecologist/Obstetrician,19,Goregaon West,Mumbai,92,95,1000
203,Dr. Shital S Jadhav,DNB,Gynecologist/Obstetrician,18,Kandivali East,Mumbai,99,59,1000
204,Dr. Manjushri Kothekar,MBBS,Gynecologist/Obstetrician,18,Chembur,Mumbai,10,13,1000
205,Dr. Shubhada Kulkarni,MBBS,Gynecologist/Obstetrician,43,Andheri West,Mumbai,90,128,1000
206,Dr. Vilas Kulkarni,MD,Pediatrician,52,Andheri West,Mumbai,98,43,1000
207,Dr. Manoj S Thamke,MBBS,Pediatrician,19,Mulund East,Mumbai,10,45,700
208,Dr. Yuvaraja S Shetty,MBBS,Pediatrician,17,Mulund West,Mumbai,99,182,1000
209,Dr. Deepti Chawla,MBBS,Pediatrician,12,Malad,Mumbai,10,17,800
210,Dr. Abhinav Tiwari,MBBS,Pediatrician,11,Powai,Mumbai,99,104,800
211,Dr. Sujata Chitnis,MBBS,Pediatrician,41,Vileparle East,Mumbai,10,16,1000
212,Dr. Shilpa Nayak,Diploma,Pediatrician,19,Andheri West,Mumbai,98,127,1500
213,Dr. Alpa Shah,MBBS,Pediatrician,27,Govandi,Mumbai,94,38,900
214,Dr. Rahul Shukla,MD,Pediatrician,9,Mira Road,Mumbai,10,14,800
215,Dr. Rajashri Shanbhag,MBBS,Pediatrician,26,Jogeshwari East,Mumbai,10,8,800
217,Dr. Santosh Patil,MBBS,Orthopedist,19,Tilak Nagar,Mumbai,10,20,1000
218,Dr. Sanjeed C Pujary,MBBS,Orthopedist,15,Andheri,Mumbai,0,0,1500
219,Dr. Umesh Shetty,MS,Orthopedist,32,Andheri West,Mumbai,84,237,1500
220,Dr. Shaival Chauhan,MBBS,Orthopedist,17,Ghatkopar West,Mumbai,10,311,1000
221,Dr. Sujit Korday,MBBS,Orthopedist,36,Santacruz West,Mumbai,50,0,1500
222,Dr. Yajuvendra Gawai,MBBS,Orthopedist,23,Santacruz West,Mumbai,98,79,1500
223,Dr. Prajyot Jagtap,MBBS,Orthopedist,15,Chembur,Mumbai,96,13,1500
224,Dr. Neeraj R Bijlani,MBBS,Orthopedist,21,Chembur,Mumbai,96,139,1200
225,Dr. Miten Sheth,MBBS,Orthopedist,15,Mulund West,Mumbai,99,175,1000
226,Dr. Vikas Jain,MBBS,Orthopedist,15,Chembur East,Mumbai,95,61,1000
227,Dr. Rameshwar Gutte,MBBS,Dermatologist,18,Kanjurmarg,Mumbai,95,86,500
228,Dr. Sneha Gupta Palvia,MD,Dermatologist,12,Grant Road,Mumbai,10,13,0
229,Dr. Prachi Saraogi,DNB,Dermatologist,14,Malad East,Mumbai,99,167,800
230,Dr. Jolly Shah Kapadia,MBBS,Dermatologist,23,Mulund West,Mumbai,96,194,900
231,Dr. Rashmi Mittal,MD,Dermatologist,28,Andheri West,Mumbai,98,159,800
232,Dr. Pallavi Rathi,DNB,Dermatologist,18,Andheri East,Mumbai,90,260,1000
233,Dr. Sejal Saheta,MBBS,Dermatologist,18,Powai,Mumbai,95,242,900
234,Dr. Resham Vasani Bhojani,MBBS,Dermatologist,23,Matunga,Mumbai,99,247,1700
235,Dr. Anju Bijoy Methil,DNB,Dermatologist,28,Andheri West,Mumbai,96,142,1000
236,Dr. Minal M Thamke Pawar,BPTh/BPT,Dermatologist,16,Mulund East,Mumbai,99,43,800
237,Dr. Kruti Harsh Mehta   (Physiotherapist),BPTh/BPT,Physiotherapist,13,Vikhroli,Mumbai,10,61,400
238,Dr. Priyanka Sukthankar   (Physiotherapist),BPTh/BPT,Physiotherapist,14,Andheri East,Mumbai,99,205,700
239,Dr. Rohan Sawant   (Physiotherapist),BPTh/BPT,Physiotherapist,9,Kandivali West,Mumbai,10,50,400
240,Dr. Shraddha Khot   (Physiotherapist),BPTh/BPT,Physiotherapist,15,Borivali West,Mumbai,10,30,500
241,Dr. Lajja Shah   (Physiotherapist),BPTh/BPT,Physiotherapist,14,Ghatkopar East,Mumbai,96,24,1000
242,Dr. Dinesh Kumar Joshi   (Physiotherapist),BPTh/BPT,Physiotherapist,6,Goregaon West,Mumbai,10,50,700
243,Dr. Avani Khadepau   (Physiotherapist),BPTh/BPT,Physiotherapist,20,Kandivali West,Mumbai,10,10,500
244,Dr. Monish Mehta   (Physiotherapist),BPTh/BPT,Physiotherapist,8,Khar West,Mumbai,10,50,1500
245,Dr. Ankur Sharma   (Physiotherapist),Masters,Physiotherapist,16,Malad West,Mumbai,99,72,600
246,Dr. Dhvani Desai   (Physiotherapist),MD,Physiotherapist,2,Mulund West,Mumbai,10,5,500
247,Dr. Shilpa Saple,MD,Infertility Specialist,22,Kurla West,Mumbai,10,2,0
248,Dr. Rajendra S Sankpal,MBBS,Infertility Specialist,28,Malad West,Mumbai,98,66,1000
249,Dr. Pradnya Randive,MBBS,Infertility Specialist,16,Bhandup West,Mumbai,95,79,800
250,Dr. Nanda R Kumar,MBBS,Infertility Specialist,19,Chembur East,Mumbai,89,117,1000
251,Dr. Gouri Sultane Gupta,DNB,Infertility Specialist,19,Goregaon West,Mumbai,92,95,1000
252,Dr. Shital S Jadhav,MBBS,Infertility Specialist,18,Kandivali East,Mumbai,99,59,1000
253,Dr. Manjushri Kothekar,MBBS,Infertility Specialist,18,Chembur,Mumbai,10,13,1000
254,Dr. Shubhada Kulkarni,DGO,Infertility Specialist,43,Andheri West,Mumbai,90,128,1000
255,Dr. Shreedevi Tanksale,MS,Infertility Specialist,14,Vileparle East,Mumbai,99,121,1000
256,Dr. Tejal Poddar,MS,Infertility Specialist,11,Opera House,Mumbai,98,86,1000
257,Dr. Pranay Kapadia,DO,Ophthalmologist,23,Bandra West,Mumbai,10,4,799
258,Dr. Prachi Parmar,MBBS,Ophthalmologist,12,Ghatkopar,Mumbai,10,18,499
259,Dr. Jatin Ashar,MBBS,Ophthalmologist,13,Ghatkopar,Mumbai,96,673,499
260,Dr. Saumil Sheth,MBBS,Ophthalmologist,22,Jogeshwari West,Mumbai,95,28,499
261,Dr. Bulchandani Santosh Kumar Kamal,MBBS,Ophthalmologist,22,Bandra West,Mumbai,10,0,299
262,Dr. Anurag Agarwal,MBBS,Ophthalmologist,23,Goregaon West,Mumbai,98,33,700
263,Dr. Bhavesh Gohil,MBBS,Ophthalmologist,22,Wadala,Mumbai,99,68,600
264,Dr. Pooja Ghodke,MBBS,Ophthalmologist,12,Andheri West,Mumbai,10,178,600
265,Dr. Rasshmi Malhotra,MBBS,Ophthalmologist,25,Parel,Mumbai,99,45,1200
266,Dr. Janaki Kodkani,MBBS,Ophthalmologist,23,Bandra West,Mumbai,92,26,1000
267,Dr. Samir Bagadia,MBBS,Urologist,8,Andheri,Mumbai,10,5,1000
268,Dr. Sony Mehta,MBBS,Urologist,9,Andheri,Mumbai,99,307,2000
269,Dr. Mukesh Shah,MS,Urologist,39,Andheri,Mumbai,90,9,700
270,Dr. Ajaykumar R. Gajengi,MBBS,Urologist,18,Borivali West,Mumbai,91,21,1000
271,Dr. Shrikant Badwe,MBBS,Urologist,44,Goregaon West,Mumbai,90,117,1500
272,Dr. Sayed Zaffar Karam,MBBS,Urologist,11,Chembur,Mumbai,0,0,1200
273,Dr. Pankaj Maheshwari N,MBBS,Urologist,33,Mulund West,Mumbai,89,11,2000
274,Dr. Saket Sathe,MBBS,Urologist,11,Kandivali West,Mumbai,95,9,1000
275,Dr. Pradeep Prabhakar Rao,DNB,Urologist,32,Parel,Mumbai,56,5,1850
